Protein,Gene,Description,log2FC,pvalue,adj.pvalue,Status
Q9H0B6,KLC2,kinesin light chain 2,-0.800129587949275,3.91557892371885e-05,0.240925571176421,Not Significant
Q92673,SORL1,sortilin related receptor 1,-2.76011479895539,0.000318054779882448,0.978495530308353,Not Significant
A0A1W2PQ72,MSANTD7,Myb/SANT DNA binding domain containing 7,0.186058779404749,0.718792556209635,0.999774437519936,Not Significant
A0AV96,RBM47,RNA binding motif protein 47,-0.166174215301178,0.402353437611663,0.999774437519936,Not Significant
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,0.0470427670700749,0.767805218674483,0.999774437519936,Not Significant
A0FGR8,ESYT2,extended synaptotagmin 2,-0.00786482808575486,0.978051052664583,0.999774437519936,Not Significant
A0JNW5,BLTP3B,bridge-like lipid transfer protein family member 3B,0.211722797007639,0.667976371227413,0.999774437519936,Not Significant
A0MZ66,SHTN1,shootin 1,0.00388025573877286,0.983141399781994,0.999774437519936,Not Significant
A0PJW6,TMEM223,transmembrane protein 223,-0.204080881869628,0.538647805519301,0.999774437519936,Not Significant
A1IGU5,ARHGEF37,Rho guanine nucleotide exchange factor 37,-0.118563167604229,0.695900102662196,0.999774437519936,Not Significant
A1L0T0,HACL2,2-hydroxyacyl-CoA lyase 2,-0.216603258251107,0.567386240473627,0.999774437519936,Not Significant
A1X283,SH3PXD2B,SH3 and PX domains 2B,0.954209327964128,0.444331662329117,0.999774437519936,Not Significant
A2A288,ZC3H12D,zinc finger CCCH-type containing 12D,0.0705666857893101,0.826261089536562,0.999774437519936,Not Significant
A2AJT9,BCLAF3,BCLAF1 and THRAP3 family member 3,-0.246329400491995,0.353915653852658,0.999774437519936,Not Significant
A2RRD8,ZNF320,zinc finger protein 320,-0.120036962525291,0.694209433409739,0.999774437519936,Not Significant
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,0.150248030895635,0.610707896390731,0.999774437519936,Not Significant
A2RTX5,TARS3,threonyl-tRNA synthetase 3,0.111958425053408,0.675115348872021,0.999774437519936,Not Significant
A2RUC4,TYW5,tRNA-yW synthesizing protein 5,-0.401199587571874,0.534542866383627,0.999774437519936,Not Significant
A2RUS2,DENND3,DENN domain containing 3,0.157281594205125,0.283639850753288,0.999774437519936,Not Significant
A2VDF0,FUOM,fucose mutarotase,-0.561011149118701,0.255728880938443,0.999774437519936,Not Significant
A3KMH1,VWA8,von Willebrand factor A domain containing 8,0.10475909443553,0.806029538837235,0.999774437519936,Not Significant
A3KN83,SBNO1,strawberry notch homolog 1,0.890621846216195,0.0389542486976135,0.999774437519936,Not Significant
A4D1E9,GTPBP10,GTP binding protein 10,-0.718520057020958,0.0599922505601724,0.999774437519936,Not Significant
A4D1P6,WDR91,WD repeat domain 91,-0.186654782056913,0.134324466065187,0.999774437519936,Not Significant
A4D1U4,DENND11,DENN domain containing 11,-0.154433839631085,0.438146219676096,0.999774437519936,Not Significant
A5PLL1,ANKRD34B,ankyrin repeat domain 34B,-0.160773063155271,0.786798407819116,0.999774437519936,Not Significant
A5PLL7,PEDS1,plasmanylethanolamine desaturase 1,0.13908856524513,0.775758543931277,0.999774437519936,Not Significant
A5PLN9,TRAPPC13,trafficking protein particle complex subunit 13,0.150141645123163,0.518041342403788,0.999774437519936,Not Significant
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,-0.0353017684547201,0.881712394785134,0.999774437519936,Not Significant
A6NC86,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing,-0.555028884614744,0.548582178569798,0.999774437519936,Not Significant
A6NC98,CCDC88B,coiled-coil and HOOK domain protein 88B,0.175760350189455,0.218528047400337,0.999774437519936,Not Significant
A6NDG6,PGP,phosphoglycolate phosphatase,0.116770073893093,0.765070095303153,0.999774437519936,Not Significant
A6NDU8,RIMOC1,RAB7A interacting MON1-CCZ1 complex subunit 1,-0.156380083305386,0.696543922895012,0.999774437519936,Not Significant
A6NED2,RCCD1,RCC1 domain containing 1,0.357691562073992,0.2427177974983,0.999774437519936,Not Significant
A6NFI3,ZNF316,zinc finger protein 316,0.580962624719034,0.154903798737234,0.999774437519936,Not Significant
A6NHR9,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,0.178445805534972,0.258610635264281,0.999774437519936,Not Significant
A6NHX0,CASTOR2,cytosolic arginine sensor for mTORC1 subunit 2,-0.768018909461163,0.418316496230831,0.999774437519936,Not Significant
A6NI15,MSGN1,mesogenin 1,0.224621155133688,0.561693263108929,0.999774437519936,Not Significant
A6NIH7,UNC119B,unc-119 lipid binding chaperone B,0.249416428507803,0.243056690267173,0.999774437519936,Not Significant
A6NJ78,METTL15,"methyltransferase 15, mitochondrial 12S rRNA N4-cytidine",-0.461004944559708,0.542252654060606,0.999774437519936,Not Significant
A6NJG2,SOWAHD,sosondowah ankyrin repeat domain family member D,-0.252600003477235,0.530370033264737,0.999774437519936,Not Significant
A6NK58,LIPT2,lipoyl(octanoyl) transferase 2,1.23901581469881,0.0331771358078214,0.999774437519936,Not Significant
A6NM28,ZFP92,ZFP92 zinc finger protein,0.129791375023688,0.819913002230935,0.999774437519936,Not Significant
A6NNC1,LOC128966637,putative POM121-like protein 1-like,0.480312862833195,0.173031032405907,0.999774437519936,Not Significant
A6ZKI3,RTL8C,retrotransposon Gag like 8C,0.133849078758735,0.754974237965058,0.999774437519936,Not Significant
A8CG34,POM121,POM121 transmembrane nucleoporin,0.172064178984453,0.544028712210408,0.999774437519936,Not Significant
A8K2U0,A2ML1,alpha-2-macroglobulin like 1,-1.64101382094468,0.118644947797238,0.999774437519936,Not Significant
A8MTL9,HMSD,histocompatibility minor serpin domain containing,-0.030403068056816,0.973351520820712,0.999774437519936,Not Significant
A8MW92,PHF20L1,PHD finger protein 20 like 1,0.376735484205997,0.103101015103409,0.999774437519936,Not Significant
A8MXV4,NUDT19,nudix hydrolase 19,0.0872408672276494,0.758992673440478,0.999774437519936,Not Significant
A9UHW6,MIF4GD,MIF4G domain containing,-0.407462997441923,0.335654756573931,0.999774437519936,Not Significant
B0I1T2,MYO1G,myosin IG,0.610575521950552,0.117756520211119,0.999774437519936,Not Significant
B2RUZ4,SMIM1,small integral membrane protein 1 (Vel blood group),-0.137066126634644,0.567667353276033,0.999774437519936,Not Significant
B7ZBB8,PPP1R3G,protein phosphatase 1 regulatory subunit 3G,0.0163102599246288,0.958619388723579,0.999774437519936,Not Significant
C4AMC7;Q6VEQ5,WASHC1,WASH complex subunit 1,-0.0626656814348895,0.806340260155579,0.999774437519936,Not Significant
C9J798;O43374,RASA4B,RAS p21 protein activator 4B,0.641391936857738,0.134858437840432,0.999774437519936,Not Significant
C9JRZ8,AKR1B15,aldo-keto reductase family 1 member B15,-0.747534947374097,0.29384823249092,0.999774437519936,Not Significant
E9PRG8,C11orf98,chromosome 11 open reading frame 98,0.423454873335823,0.394503975866175,0.999774437519936,Not Significant
L0R6Q1,LOC131768270,SLC35A4 upstream open reading frame protein,-0.193632759374655,0.614265534110944,0.999774437519936,Not Significant
O00115,DNASE2,"deoxyribonuclease 2, lysosomal",0.0249335935613419,0.942108661157633,0.999774437519936,Not Significant
O00116,AGPS,alkylglycerone phosphate synthase,0.142738634316875,0.724779778632485,0.999774437519936,Not Significant
O00142,TK2,thymidine kinase 2,-0.00217524154510467,0.991647038279665,0.999774437519936,Not Significant
O00148,DDX39A,DExD-box helicase 39A,0.756866216661103,0.186591518333875,0.999774437519936,Not Significant
O00151,PDLIM1,PDZ and LIM domain 1,0.844303289631007,0.208254133068681,0.999774437519936,Not Significant
O00154,ACOT7,acyl-CoA thioesterase 7,0.198923962267318,0.48674783154313,0.999774437519936,Not Significant
O00159,MYO1C,myosin IC,-0.271769693537224,0.469253916636736,0.999774437519936,Not Significant
O00160,MYO1F,myosin IF,0.0821938210760587,0.584852569502554,0.999774437519936,Not Significant
O00161,SNAP23,synaptosome associated protein 23,0.0876304413179155,0.756646242896549,0.999774437519936,Not Significant
O00165,HAX1,HCLS1 associated protein X-1,0.0188105264168747,0.962513330892015,0.999774437519936,Not Significant
O00170,AIP,AHR interacting HSP90 co-chaperone,0.161348299861907,0.470498217178441,0.999774437519936,Not Significant
O00182,LGALS9,galectin 9,0.279938957374618,0.269022751700095,0.999774437519936,Not Significant
O00186,STXBP3,syntaxin binding protein 3,0.0520488976796264,0.881523566973487,0.999774437519936,Not Significant
O00189,AP4M1,adaptor related protein complex 4 subunit mu 1,-0.253835766699408,0.490922626536982,0.999774437519936,Not Significant
O00203,AP3B1,adaptor related protein complex 3 subunit beta 1,0.0357768375181259,0.848529994493011,0.999774437519936,Not Significant
